%time,field.data
1538332571053838899,402
1538332571146293865,403
1538332571254321512,412
1538332571350750712,404
1538332571458311457,455
1538332571546684372,404
1538332571650886163,410
1538332571752137713,401
1538332571858912714,403
1538332571964286184,402
1538332572078236184,435
1538332572178587986,400
1538332572282359329,405
1538332572399982359,403
1538332572499891680,486
1538332572602701491,403
1538332572716256028,404
1538332572802640775,402
1538332572914517396,403
1538332573018752038,405
1538332573128970736,398
1538332573220704520,411
1538332573314466529,403
1538332573410360703,404
1538332573532509697,423
1538332573636224075,402
1538332573739542125,406
1538332573848455022,404
1538332573957861136,402
1538332574055092956,405
1538332574156126370,404
1538332574249615470,404
1538332574363368221,405
1538332574476677340,402
1538332574562518728,403
1538332574679422481,405
1538332574772040641,403
1538332574883110222,402
1538332574974411381,406
1538332575078698977,406
1538332575170189058,403
1538332575278473495,402
1538332575396083802,517
1538332575513263463,400
1538332575602048518,394
1538332575703378714,404
1538332575804818578,403
1538332575911548840,402
1538332576027548130,405
1538332576116278872,402
1538332576211020951,405
1538332576316924742,404
1538332576412335482,405
1538332576516476407,504
1538332576625075375,403
1538332576736384701,405
1538332576828829194,400
1538332576933036567,406
1538332577050335893,408
1538332577147410175,405
1538332577255133691,403
1538332577358630386,404
1538332577448118282,405
1538332577550539475,402
1538332577638597158,408
1538332577749488928,404
1538332577860304657,403
1538332577960400395,404
1538332578074613407,404
1538332578159018392,408
1538332578248372043,402
1538332578356392189,402
1538332578468082653,410
1538332578574556267,405
1538332578678459897,403
1538332578778882978,405
1538332578890774707,401
1538332579004290088,406
1538332579118785123,404
1538332579206736225,405
1538332579307280069,406
1538332579410586063,404
1538332579524091041,403
1538332579635089117,402
1538332579738665172,405
1538332579830979489,402
1538332579936144335,404
1538332580047925752,400
1538332580166636721,400
1538332580274587545,404
1538332580382558291,403
1538332580496348535,401
1538332580590654236,471
1538332580700319581,407
1538332580811064740,406
1538332580896287101,422
1538332581032702630,407
1538332581119643240,403
1538332581231434701,406
1538332581334712771,405
1538332581438719060,403
1538332581530927591,406
1538332581679745732,454
1538332581775166446,403
1538332581871088632,404
1538332581976194355,404
1538332582081621434,403
1538332582221507632,402
1538332582323507919,402
1538332582418575088,406
1538332582527095492,402
1538332582626760901,403
1538332582729847887,404
1538332582834662694,405
1538332582932070824,406
1538332583031548428,399
1538332583133398237,401
1538332583261809270,402
1538332583346721853,403
1538332583455039260,407
1538332583561579796,404
1538332583662749793,402
1538332583764584212,404
1538332583880464658,403
1538332583966928707,493
1538332584084587525,404
1538332584168591915,405
1538332584316205094,403
1538332584427054711,412
1538332584522851416,402
1538332584622855638,404
1538332584718597539,401
1538332584818795900,409
1538332584926827715,400
1538332585036805003,422
1538332585130817042,404
1538332585230850005,401
1538332585368973214,504
1538332585478731958,399
1538332585570605991,405
1538332585678866497,404
1538332585787458407,400
1538332585887814007,407
1538332585984770143,405
1538332586106926308,464
1538332586190496502,395
1538332586310924691,456
1538332586426938364,402
1538332586542832172,400
1538332586648430803,406
1538332586762856838,403
1538332586862716716,402
1538332586966729997,405
1538332587078694068,428
1538332587178792668,402
1538332587282736234,403
1538332587394976476,405
1538332587498919466,405
1538332587606950629,401
1538332587723022395,403
1538332587830920009,403
1538332587935051346,402
1538332588042937336,404
1538332588138936664,404
1538332588234912944,406
1538332588334996554,404
1538332588481065304,412
1538332588595222209,403
1538332588706990990,404
1538332588798968130,403
1538332588906952334,405
1538332589007658285,407
1538332589118949163,403
1538332589210981383,403
1538332589320739980,402
1538332589409021037,402
1538332589512637444,403
1538332589628285126,401
1538332589707327200,403
1538332589836817089,404
1538332589948133841,403
1538332590043156265,407
1538332590146995478,403
1538332590258991556,402
1538332590347358354,407
1538332590481806678,404
1538332590584301007,406
1538332590690918091,405
1538332590784622034,405
1538332590887038651,405
1538332591006908819,404
1538332591127247449,509
1538332591248704945,402
1538332591342870626,406
1538332591447064947,405
1538332591550942249,404
1538332591646856349,404
1538332591767068788,405
1538332591865384046,403
1538332591976602798,403
1538332592087703757,404
1538332592191043316,403
1538332592305039017,402
1538332592398954101,410
1538332592508946970,430
1538332592615082567,404
1538332592707055603,401
1538332592804964894,433
1538332592915420886,442
1538332593037033761,402
1538332593144186574,403
1538332593257056243,481
1538332593379001095,403
1538332593480670028,404
1538332593581017700,403
1538332593700016363,418
1538332593795218172,403
1538332593913901451,403
1538332594018666954,403
1538332594127246438,402
1538332594243194537,406
1538332594366248614,402
1538332594479010689,406
1538332594591215037,407
1538332594687293812,404
1538332594789274593,403
1538332594907566888,404
1538332594999121135,403
1538332595115325668,407
1538332595211850449,406
1538332595331163941,403
1538332595447534138,402
1538332595552577602,404
1538332595655295677,428
1538332595741803205,400
1538332595875300668,403
1538332595976967384,398
1538332596076132205,411
1538332596191309792,398
1538332596284763053,406
1538332596375515914,461
1538332596495381209,399
1538332596583235415,402
1538332596687317269,403
1538332596901698614,448
1538332596926669995,405
1538332597017098728,408
1538332597135208971,408
1538332597263775375,404
1538332597311117614,403
1538332597415090842,403
1538332597539149622,410
1538332597635406095,403
1538332597743184979,405
1538332597865249907,402
1538332597943369635,402
1538332598061692654,405
1538332598169895072,402
1538332598261757841,404
1538332598367815337,404
1538332598487353034,402
1538332598607139551,406
1538332598723393617,405
1538332598832333714,404
1538332598915171400,405
1538332599033562931,396
1538332599135925283,403
1538332599231371995,402
1538332599327398909,403
1538332599459358588,404
1538332599555738345,407
1538332599650469847,405
1538332599753303751,405
1538332599859472206,400
1538332599955921446,406
1538332600061209610,401
1538332600177225218,405
1538332600273141123,406
1538332600375443742,401
1538332600484022320,403
1538332600579289962,408
1538332600689159134,401
1538332600784967874,404
1538332600892873283,404
1538332601000931873,405
1538332601121479414,401
1538332601217147384,404
1538332601323474220,403
1538332601419277081,392
1538332601519403824,404
1538332601625601685,491
1538332601735322584,402
1538332601856275413,503
1538332601959378240,399
