%time,field.data
1538332894773180109,603
1538332894857113166,604
1538332894965138032,602
1538332895069268477,607
1538332895173386933,607
1538332895277198551,601
1538332895377148872,613
1538332895495085250,602
1538332895593776097,598
1538332895689689265,606
1538332895801042265,602
1538332895905611247,631
1538332896019359306,602
1538332896109440619,604
1538332896212473519,605
1538332896314752285,602
1538332896421272589,602
1538332896521475882,602
1538332896637942829,607
1538332896717417571,605
1538332896873965591,608
1538332896922732128,599
1538332897049584626,685
1538332897140022804,610
1538332897353573588,603
1538332897414271726,608
1538332897429185441,621
1538332897529346075,602
1538332897629498711,601
1538332897737586903,608
1538332897841360885,602
1538332897941670214,605
1538332898038287612,604
1538332898149609682,603
1538332898241715235,602
1538332898343037522,602
1538332898443515659,604
1538332898561629148,624
1538332898683659264,599
1538332898777514245,603
1538332898881614690,602
1538332898989600343,597
1538332899081781508,604
1538332899197595151,602
1538332899281472604,602
1538332899393644623,598
1538332899505589435,606
1538332899615247537,635
1538332899713618575,604
1538332899812069346,596
1538332899912149949,602
1538332900036325870,602
1538332900133604434,605
1538332900225605660,601
1538332900329383655,602
1538332900425371154,602
1538332900540446400,602
1538332900633884331,596
1538332900739090787,604
1538332900837404697,623
1538332900936155738,603
1538332901045663416,601
1538332901129632619,599
1538332901237528149,600
1538332901345773120,599
1538332901457674200,603
1538332901549630344,599
1538332901666288319,602
1538332901765631438,602
1538332901866155105,597
1538332901969413804,606
1538332902069737967,603
1538332902174203491,604
1538332902273601233,632
1538332902369679126,628
1538332902477790375,723
1538332902578658486,592
1538332902677685103,599
1538332902773661840,604
1538332902889658593,603
1538332902984456819,608
1538332903085562013,603
1538332903189291561,603
1538332903285611000,598
1538332903384212977,603
1538332903489517982,604
1538332903588474390,603
1538332903700373087,603
1538332903839508092,601
1538332903957735844,606
1538332904132834196,603
1538332904161686100,601
1538332904293734921,600
1538332904439240502,604
1538332904587018483,601
1538332904605812392,605
1538332904757873744,600
1538332904907120101,603
1538332904932037352,729
1538332905024146930,600
1538332905156832872,600
1538332905221359265,604
1538332905362373625,605
1538332905505910261,725
1538332905534808650,602
1538332905668501725,602
1538332905753857848,605
1538332905846592228,604
