time,stamp,left_encoder,right_encoder
1.53139177036602E+018,1.53139177030337E+018,1566,778
1.53139177287843E+018,1.53139177390792E+018,1566,777
1.53139177293475E+018,1.53139177290895E+018,1566,778
1.53139177298411E+018,1.53139177294195E+018,1566,777
1.53139177303259E+018,1.53139177297495E+018,1566,778
1.53139177306092E+018,1.53139177302795E+018,1566,778
1.53139177311913E+018,1.53139177306095E+018,1566,778
1.53139177315308E+018,1.53139177310995E+018,1566,778
1.53139177322044E+018,1.53139177314295E+018,1566,778
1.53139177327494E+018,1.53139177317595E+018,1566,778
1.53139177329739E+018,1.53139177324095E+018,1566,778
1.5313917733488E+018,1.53139177327395E+018,1566,778
1.53139177336999E+018,1.53139177332895E+018,1566,778
1.53139177342175E+018,1.53139177336195E+018,1566,777
1.53139177344392E+018,1.53139177341395E+018,1566,778
1.53139177350608E+018,1.53139177344695E+018,1566,778
1.53139177355185E+018,1.53139177350895E+018,1566,778
1.53139177362107E+018,1.53139177354195E+018,1566,777
1.53139177365455E+018,1.53139177358895E+018,1566,778
1.53139177372828E+018,1.53139177362195E+018,1566,778
1.53139177375438E+018,1.53139177371895E+018,1566,778
1.53139177381019E+018,1.53139177375195E+018,1566,777
1.53139177386238E+018,1.53139177382595E+018,1566,777
1.53139177391805E+018,1.53139177386095E+018,1566,778
1.53139177399292E+018,1.53139177394095E+018,1566,778
1.53139177406665E+018,1.53139177397495E+018,1566,778
1.53139177411616E+018,1.53139177404995E+018,1566,777
1.53139177419452E+018,1.53139177408295E+018,1566,777
1.53139177424144E+018,1.53139177420895E+018,1566,777
1.53139177430325E+018,1.53139177424395E+018,1566,777
1.53139177435425E+018,1.53139177431795E+018,1566,778
1.53139177441099E+018,1.53139177435095E+018,1566,777
1.53139177447912E+018,1.53139177438395E+018,1566,778
1.53139177450535E+018,1.53139177443195E+018,1566,777
1.53139177460009E+018,1.53139177446695E+018,1566,778
1.53139177462418E+018,1.53139177454195E+018,1566,778
1.53139177467782E+018,1.53139177457495E+018,1566,777
1.53139177469874E+018,1.53139177467095E+018,1566,777
1.53139177474649E+018,1.53139177470395E+018,1566,778
1.5313917747914E+018,1.53139177473695E+018,1566,778
1.53139177481193E+018,1.53139177478295E+018,1566,778
1.53139177486387E+018,1.53139177481795E+018,1566,778
1.53139177488901E+018,1.53139177486495E+018,1566,778
1.5313917749615E+018,1.53139177489995E+018,1566,777
1.53139177501499E+018,1.53139177493395E+018,1566,778
1.53139177505179E+018,1.53139177500295E+018,1566,777
1.53139177513518E+018,1.53139177503595E+018,1566,778
1.53139177518549E+018,1.53139177514995E+018,1566,778
1.53139177523448E+018,1.53139177518295E+018,1566,778
1.53139177525978E+018,1.53139177523495E+018,1566,777
1.53139177530702E+018,1.53139177526795E+018,1566,777
1.53139177535271E+018,1.53139177530095E+018,1566,777
1.53139177537422E+018,1.53139177534395E+018,1566,778
1.53139177543676E+018,1.53139177537695E+018,1566,777
1.53139177547087E+018,1.53139177549504E+018,1566,778
1.53139177554998E+018,1.53139177552804E+018,1566,778
1.53139177562858E+018,1.53139177561504E+018,1566,777
1.53139177568005E+018,1.53139177565004E+018,1566,778
1.531391775708E+018,1.53139177573804E+018,1566,777
1.53139177576889E+018,1.53139177577304E+018,1566,778
1.53139177581349E+018,1.53139177580604E+018,1566,777
1.53139177583574E+018,1.53139177584904E+018,1566,777
1.53139177590323E+018,1.53139177588304E+018,1566,778
1.53139177594384E+018,1.53139177596604E+018,1566,778
1.53139177602395E+018,1.53139177599904E+018,1566,778
1.5313917760871E+018,1.53139177609804E+018,1566,778
1.53139177613787E+018,1.53139177613104E+018,1566,778
1.53139177616504E+018,1.53139177619604E+018,1566,778
1.53139177622099E+018,1.53139177623004E+018,1566,778
1.53139177626976E+018,1.53139177626304E+018,1566,778
1.53139177629143E+018,1.53139177631804E+018,1566,778
1.53139177635379E+018,1.53139177635104E+018,1566,778
1.53139177640398E+018,1.53139177638404E+018,1566,778
1.53139177642694E+018,1.53139177644304E+018,1566,778
1.53139177649552E+018,1.53139177647804E+018,1566,778
1.53139177656325E+018,1.53139177658104E+018,1566,778
1.53139177662645E+018,1.53139177661604E+018,1566,777
1.53139177665857E+018,1.53139177668804E+018,1566,778
1.53139177670868E+018,1.53139177672204E+018,1566,777
1.53139177675966E+018,1.53139177675504E+018,1566,778
1.53139177678009E+018,1.53139177680504E+018,1566,778
1.5313917768389E+018,1.53139177683804E+018,1566,777
1.5313917768925E+018,1.53139177691204E+018,1566,778
1.53139177697355E+018,1.53139177694704E+018,1566,778
1.53139177706031E+018,1.53139177706304E+018,1566,778
1.53139177711229E+018,1.53139177709604E+018,1566,777
1.53139177716183E+018,1.53139177718704E+018,1566,777
1.53139177721107E+018,1.53139177722004E+018,1566,777
1.53139177725985E+018,1.53139177725304E+018,1566,778
1.53139177728068E+018,1.53139177729004E+018,1566,778
1.53139177733972E+018,1.53139177732404E+018,1566,778
1.53139177736761E+018,1.53139177738704E+018,1566,777
1.53139177742035E+018,1.53139177742104E+018,1566,777
1.53139177745272E+018,1.53139177747904E+018,1566,778
1.53139177753006E+018,1.53139177751304E+018,1566,777
1.53139177758117E+018,1.53139177754604E+018,1566,778
1.53139177760476E+018,1.53139177762404E+018,1566,777
1.531391777654E+018,1.53139177765504E+018,1566,778
1.53139177769665E+018,1.53139177768804E+018,1566,777
1.53139177771749E+018,1.53139177773504E+018,1566,778
1.53139177776693E+018,1.53139177776904E+018,1566,778
1.53139177780831E+018,1.53139177783304E+018,1566,778
1.53139177787031E+018,1.53139177786604E+018,1566,778
1.53139177792196E+018,1.53139177794504E+018,1566,778
1.53139177800153E+018,1.53139177795146E+018,1566,778
1.53139177804154E+018,1.53139177803346E+018,1566,778
1.53139177809747E+018,1.53139177806646E+018,1566,778
1.53139177814306E+018,1.53139177814346E+018,1566,778
1.53139177819256E+018,1.53139177817746E+018,1566,778
1.53139177823995E+018,1.53139177821046E+018,1566,778
1.53139177826101E+018,1.53139177826046E+018,1566,777
1.53139177831986E+018,1.53139177829346E+018,1566,777
1.53139177835828E+018,1.53139177836246E+018,1566,778
1.53139177840929E+018,1.53139177839646E+018,1566,777
1.53139177846314E+018,1.53139177842946E+018,1566,778
1.53139177850032E+018,1.53139177848246E+018,1566,778
1.53139177856147E+018,1.53139177851546E+018,1566,778
1.53139177861684E+018,1.53139177860646E+018,1566,778
1.53139177867793E+018,1.53139177863946E+018,1566,777
1.53139177872874E+018,1.53139177872446E+018,1566,778
1.53139177878337E+018,1.53139177875746E+018,1566,778
1.53139177884517E+018,1.53139177883546E+018,1566,778
1.53139177891171E+018,1.53139177886846E+018,1566,778
1.5313917789745E+018,1.53139177895846E+018,1566,777
1.53139177908116E+018,1.53139177899146E+018,1566,778
1.53139177912911E+018,1.53139177911146E+018,1566,778
1.53139177919113E+018,1.53139177914546E+018,1566,778
1.53139177924537E+018,1.53139177923746E+018,1566,778
1.53139177930383E+018,1.53139177927246E+018,1566,777
1.53139177936153E+018,1.53139177934646E+018,1566,778
1.53139177941547E+018,1.53139177938146E+018,1566,778
1.53139177945504E+018,1.53139177945846E+018,1566,778
1.53139177953351E+018,1.53139177949346E+018,1566,778
1.53139177958066E+018,1.53139177952646E+018,1566,777
1.53139177960356E+018,1.53139177958746E+018,1566,778
1.53139177965224E+018,1.53139177962046E+018,1566,777
1.53139177967857E+018,1.53139177967946E+018,1566,778
1.53139177973208E+018,1.53139177971446E+018,1566,778
1.53139177975797E+018,1.53139177975946E+018,1566,778
1.53139177981128E+018,1.53139177979446E+018,1566,778
1.53139177985293E+018,1.53139177982746E+018,1566,778
1.53139177987413E+018,1.53139177986446E+018,1566,777
1.53139177992975E+018,1.53139177989846E+018,1566,777
1.53139177995648E+018,1.53139177995846E+018,1566,778
1.53139178001619E+018,1.53139177999346E+018,1566,778
1.53139178007841E+018,1.53139178002646E+018,1566,778
1.53139178010443E+018,1.53139178006746E+018,1566,778
1.53139178016934E+018,1.53139178010246E+018,1566,777
1.53139178018607E+018,1.53139178018246E+018,1566,778
1.53139178024388E+018,1.53139178021746E+018,1566,777
1.53139178028419E+018,1.53139178027946E+018,1566,778
1.53139178034263E+018,1.53139178031446E+018,1566,777
1.53139178037056E+018,1.53139178037146E+018,1566,778
1.53139178043198E+018,1.53139178040646E+018,1566,778
1.53139178047508E+018,1.53139178043946E+018,1566,777
1.53139178049464E+018,1.53139178048246E+018,1566,777
1.53139178058113E+018,1.53139178054896E+018,1566,778
1.53139178058872E+018,1.53139178060196E+018,1566,778
1.5313917806525E+018,1.53139178063696E+018,1566,777
1.531391780683E+018,1.53139178071196E+018,1566,778
1.53139178074673E+018,1.53139178074696E+018,1566,777
1.53139178079648E+018,1.53139178077996E+018,1566,777
1.53139178081908E+018,1.53139178083296E+018,1566,778
1.53139178087323E+018,1.53139178086596E+018,1566,777
1.53139178090527E+018,1.53139178092696E+018,1566,778
1.53139178096434E+018,1.53139178096196E+018,1566,777
1.53139178101272E+018,1.53139178103796E+018,1566,778
1.53139178110233E+018,1.53139178107296E+018,1566,778
1.53139178113804E+018,1.53139178115896E+018,1566,778
1.53139178120467E+018,1.53139178119396E+018,1566,777
1.53139178122908E+018,1.53139178125596E+018,1566,778
1.53139178129378E+018,1.53139178129096E+018,1566,778
1.53139178132258E+018,1.53139178135296E+018,1566,778
1.53139178139241E+018,1.53139178138796E+018,1566,778
1.53139178143371E+018,1.53139178142096E+018,1566,777
1.53139178145403E+018,1.53139178147496E+018,1566,778
1.53139178151673E+018,1.53139178150896E+018,1566,778
1.53139178154722E+018,1.53139178156396E+018,1566,777
1.53139178160739E+018,1.53139178159896E+018,1566,777
1.53139178162782E+018,1.53139178166296E+018,1566,778
1.53139178167827E+018,1.53139178169596E+018,1566,777
1.53139178173086E+018,1.53139178173096E+018,1566,778
1.53139178174543E+018,1.53139178177496E+018,1566,777
1.53139178180004E+018,1.53139178180996E+018,1566,778
1.53139178183466E+018,1.53139178187296E+018,1566,778
1.53139178188918E+018,1.53139178190796E+018,1566,778
1.53139178193988E+018,1.53139178194096E+018,1566,777
1.53139178196592E+018,1.53139178199596E+018,1566,778
1.53139178202205E+018,1.53139178203096E+018,1566,778
1.53139178204338E+018,1.53139178207696E+018,1566,778
1.53139178212177E+018,1.53139178211196E+018,1566,778
1.53139178217118E+018,1.53139178214496E+018,1566,777
1.53139178219193E+018,1.53139178220796E+018,1566,778
1.53139178224162E+018,1.53139178224296E+018,1566,778
1.53139178226687E+018,1.53139178229996E+018,1566,778
1.53139178232137E+018,1.53139178233496E+018,1566,778
1.53139178236407E+018,1.53139178236796E+018,1566,778
1.53139178238396E+018,1.53139178240296E+018,1566,778
1.53139178244029E+018,1.53139178243596E+018,1566,778
1.53139178246222E+018,1.53139178249496E+018,1566,777
1.53139178251979E+018,1.53139178252996E+018,1566,778
1.5313917825973E+018,1.53139178256296E+018,1566,778
1.53139178262703E+018,1.53139178262096E+018,1566,778
1.53139178268579E+018,1.53139178265596E+018,1566,778
1.53139178270157E+018,1.53139178273096E+018,1566,778
1.5313917827543E+018,1.53139178276596E+018,1566,777
1.53139178279494E+018,1.53139178282696E+018,1566,778
1.5313917828474E+018,1.53139178286196E+018,1566,778
1.53139178288383E+018,1.53139178290896E+018,1566,778
1.53139178293717E+018,1.53139178294396E+018,1566,778
1.53139178298306E+018,1.53139178301196E+018,1566,777
1.53139178307041E+018,1.53139178304709E+018,1566,778
1.53139178309618E+018,1.53139178312709E+018,1566,777
1.53139178315982E+018,1.53139178316209E+018,1566,777
1.53139178318116E+018,1.53139178321509E+018,1566,778
1.53139178323614E+018,1.53139178325009E+018,1566,778
1.53139178327971E+018,1.53139178328309E+018,1566,778
